,loss,accuracy,auc,val_loss,val_accuracy,val_auc,lr
0,0.31535598635673523,0.8673315048217773,0.9552415013313293,0.11765916645526886,0.9601449370384216,0.992936909198761,0.001
1,0.07291413843631744,0.9824720621109009,0.9987406730651855,0.07888571918010712,0.9746376872062683,0.9993923902511597,0.001
2,0.03919659182429314,0.9897249937057495,0.9995303153991699,0.03255828842520714,0.9927536249160767,0.9998658299446106,0.001
3,0.022312356159090996,0.9942581057548523,0.9998862743377686,0.03083943948149681,0.9915459156036377,0.9997800588607788,0.001
4,0.018572017550468445,0.9960713386535645,0.999729335308075,0.030320582911372185,0.9939613342285156,0.9990384578704834,0.001
5,0.010988974012434483,0.9975823760032654,0.9999702572822571,0.026228254660964012,0.9951691031455994,0.9995974898338318,0.001
6,0.011330446228384972,0.9966757297515869,0.9999563694000244,0.01700548455119133,0.9939613342285156,0.9998770356178284,0.001
7,0.01530203502625227,0.9966757297515869,0.9998533129692078,0.06006886437535286,0.97826087474823,0.9983190298080444,0.001
8,0.012547024525702,0.9966757297515869,0.999887228012085,0.02330806665122509,0.9915459156036377,0.9996086955070496,0.001
9,0.008475031703710556,0.9966757297515869,0.9999750256538391,0.0224309042096138,0.9927536249160767,0.9995936155319214,0.001
10,0.006515789777040482,0.9987911581993103,0.9999754428863525,0.024359174072742462,0.990338146686554,0.9995676279067993,0.0005
11,0.004471024498343468,0.9984889626502991,0.9999971985816956,0.017376990988850594,0.9939613342285156,0.9998061060905457,0.0005
